Time:25507, AccelX:10.60,AccelY:-0.21,AccelZ:1.16, GyroX:-0.63,GyroY:0.82,GyroZ:-0.63
Time:26801, AccelX:9.14,AccelY:1.25,AccelZ:3.80, GyroX:-0.71,GyroY:-0.25,GyroZ:-0.04
Time:26878, AccelX:10.30,AccelY:0.93,AccelZ:4.17, GyroX:-0.50,GyroY:-0.20,GyroZ:0.02
Time:27080, AccelX:9.96,AccelY:1.25,AccelZ:3.50, GyroX:-0.51,GyroY:-0.05,GyroZ:0.02
Time:30225, AccelX:9.40,AccelY:1.10,AccelZ:4.14, GyroX:-0.56,GyroY:-0.08,GyroZ:-0.01
Time:43738, AccelX:9.86,AccelY:1.16,AccelZ:2.68, GyroX:-0.56,GyroY:-0.11,GyroZ:-0.03
Time:43774, AccelX:9.87,AccelY:1.08,AccelZ:2.64, GyroX:-0.58,GyroY:-0.09,GyroZ:-0.04
Time:44859, AccelX:10.29,AccelY:1.23,AccelZ:1.64, GyroX:-0.58,GyroY:0.07,GyroZ:-0.01
Time:45352, AccelX:9.96,AccelY:1.28,AccelZ:1.92, GyroX:-0.69,GyroY:0.07,GyroZ:-0.03
Time:52719, AccelX:9.05,AccelY:1.26,AccelZ:4.06, GyroX:-0.65,GyroY:0.11,GyroZ:-0.09
Time:52755, AccelX:9.00,AccelY:1.16,AccelZ:4.12, GyroX:-0.62,GyroY:0.07,GyroZ:-0.04
Time:53456, AccelX:8.90,AccelY:1.30,AccelZ:4.04, GyroX:-0.67,GyroY:-0.15,GyroZ:-0.04
Time:53574, AccelX:10.46,AccelY:1.09,AccelZ:3.68, GyroX:-0.62,GyroY:-0.22,GyroZ:-0.06
Time:57613, AccelX:9.69,AccelY:1.21,AccelZ:3.73, GyroX:-0.58,GyroY:-0.14,GyroZ:-0.04
Time:57732, AccelX:9.76,AccelY:1.20,AccelZ:3.38, GyroX:-0.55,GyroY:-0.17,GyroZ:-0.03
Time:57830, AccelX:9.87,AccelY:1.28,AccelZ:3.32, GyroX:-0.55,GyroY:-0.13,GyroZ:-0.03
