,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
0,9.56,0.26,3.62,-1.25,-0.26,0.12,1.0
1,10.07,-0.23,1.78,-1.12,-0.12,0.02,1.0
2,10.78,0.3,2.34,-0.64,0.21,-0.24,1.0
3,9.26,-0.07,4.1,-0.03,0.58,0.53,1.0
4,9.93,0.19,1.86,-0.76,0.07,-0.47,1.0
5,10.16,0.86,4.47,-0.75,-0.01,-0.21,1.0
6,9.79,0.24,3.11,-0.76,-0.05,-0.06,1.0
7,10.32,0.59,3.09,-0.59,-0.04,-0.1,1.0
8,9.61,0.64,4.35,-0.75,0.14,-0.06,1.0
9,9.31,0.67,4.09,-0.5,0.19,0.04,1.0
10,9.25,0.51,4.12,-0.46,0.2,0.09,1.0
11,9.69,0.7,3.24,-0.85,0.26,0.21,1.0
12,9.88,0.1,3.39,-0.8,0.12,0.23,1.0
13,9.5,0.38,4.19,-0.67,-0.43,0.16,1.0
14,9.68,-0.06,3.11,-0.65,-0.32,0.04,1.0
15,9.76,-0.15,3.73,-0.42,-0.0,0.02,1.0
16,9.66,-0.02,3.77,-0.59,-0.29,-0.04,1.0
17,9.71,0.21,3.52,-0.56,-0.08,-0.05,1.0
18,9.81,0.15,3.6,-0.62,0.02,-0.03,1.0
19,9.85,0.23,3.38,-0.54,0.03,-0.05,1.0
20,7.96,0.66,3.49,-0.8,0.66,0.06,1.0
21,9.65,0.34,4.53,-0.66,0.23,0.0,1.0
22,9.33,0.28,4.64,-0.61,0.28,0.05,1.0
23,9.12,0.2,5.02,-0.64,-0.26,-0.01,1.0
24,9.81,0.02,3.35,-0.58,-0.02,-0.06,1.0
25,9.05,0.5,4.33,-0.72,-0.34,-0.07,1.0
26,9.67,0.34,4.26,-0.68,0.11,-0.02,1.0
27,9.67,0.32,3.55,-0.6,0.44,-0.2,1.0
28,8.95,0.68,6.2,-0.45,1.1,-0.3,1.0
29,9.77,0.38,3.76,-0.53,-0.42,0.22,1.0
30,9.48,0.45,4.19,-0.58,-0.17,0.03,1.0
31,9.77,0.29,3.88,-0.54,-0.28,0.07,1.0
32,9.69,0.16,3.69,-0.6,0.1,-0.05,1.0
33,9.75,0.34,3.45,-0.57,0.01,-0.03,1.0
34,9.07,0.17,3.49,-0.64,0.12,-0.01,1.0
35,9.4,0.02,4.47,-0.65,0.3,0.01,1.0
36,9.39,-0.0,4.78,-0.64,0.24,-0.03,1.0
37,9.85,-0.18,4.06,-0.55,-0.2,0.05,1.0
38,9.32,-0.12,4.13,-0.5,-0.23,-0.0,1.0
39,10.0,-0.18,3.9,-0.62,-0.07,-0.08,1.0
40,9.45,0.11,3.58,-0.73,-0.12,-0.09,1.0
41,10.56,0.27,3.37,-0.76,0.11,-0.14,1.0
42,9.79,-0.27,3.21,-0.63,0.37,-0.03,1.0
43,9.71,-0.37,3.14,-0.64,-0.01,0.15,1.0
44,9.7,-0.37,2.94,-0.65,-0.0,0.16,1.0
45,9.58,-0.44,4.09,-0.47,0.19,0.03,1.0
46,10.03,-0.51,2.82,-0.56,0.27,0.14,1.0
47,9.61,-0.74,3.57,-0.59,-0.24,-0.06,1.0
48,10.15,-0.41,2.94,-0.55,-0.27,0.0,1.0
49,9.65,-0.5,2.86,-0.61,-0.17,-0.02,1.0
50,10.05,-0.27,2.73,-0.58,-0.15,-0.02,1.0
51,10.27,-0.4,2.42,-0.58,-0.04,-0.06,1.0
52,9.35,-0.1,2.71,-0.69,0.24,-0.05,1.0
53,9.72,0.15,3.96,-0.62,0.3,-0.12,1.0
54,9.66,0.08,4.17,-0.66,0.23,-0.01,1.0
55,9.31,0.19,3.73,-0.7,0.09,-0.02,1.0
56,9.95,0.08,2.85,-0.59,-0.1,-0.06,1.0
57,9.86,0.08,2.84,-0.59,-0.06,-0.06,1.0
58,9.94,0.2,2.64,-0.65,-0.01,-0.0,1.0
59,10.18,0.13,2.56,-0.67,-0.02,0.03,1.0
60,10.05,-0.43,3.04,-0.63,-0.69,0.07,1.0
61,9.94,-0.37,2.69,-0.6,-0.08,-0.03,1.0
62,10.29,-0.47,1.8,-0.63,0.58,-0.07,1.0
63,9.82,-0.24,3.13,-0.62,-0.65,0.05,1.0
64,9.8,-0.21,3.17,-0.64,-0.0,-0.06,1.0
65,10.01,-0.26,2.95,-0.68,0.04,-0.09,1.0
66,9.88,-0.27,3.04,-0.63,0.11,-0.05,1.0
67,9.99,-0.16,3.15,-0.6,0.05,-0.01,1.0
68,10.59,-0.43,2.68,-0.63,-0.1,0.01,1.0
69,10.1,-0.23,2.48,-0.6,-0.22,0.05,1.0
70,9.79,-0.3,2.58,-0.58,-0.22,-0.0,1.0
71,9.9,-0.27,2.19,-0.58,-0.21,0.0,1.0
72,10.25,-0.85,2.02,-0.66,-0.07,-0.05,1.0
73,9.47,-0.6,2.18,-0.74,0.07,-0.13,1.0
74,10.26,-0.07,1.38,-0.65,-0.48,-0.18,1.0
75,10.77,-0.0,1.27,-0.65,-0.23,-0.2,1.0
76,8.81,0.12,1.35,-0.8,0.2,0.06,1.0
77,10.3,0.11,2.23,-0.45,0.74,0.14,1.0
78,10.01,-0.01,2.27,-0.61,-0.05,0.09,1.0
79,10.02,0.07,1.19,-0.72,0.18,-0.03,1.0
80,9.73,0.14,1.7,-0.63,0.14,-0.07,1.0
