,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
0,9.14,1.25,3.8,-0.71,-0.25,-0.04,2.0
1,10.3,0.93,4.17,-0.5,-0.2,0.02,2.0
2,9.96,1.25,3.5,-0.51,-0.05,0.02,2.0
3,9.4,1.1,4.14,-0.56,-0.08,-0.01,2.0
4,9.86,1.16,2.68,-0.56,-0.11,-0.03,2.0
5,9.87,1.08,2.64,-0.58,-0.09,-0.04,2.0
6,10.29,1.23,1.64,-0.58,0.07,-0.01,2.0
7,9.96,1.28,1.92,-0.69,0.07,-0.03,2.0
8,9.05,1.26,4.06,-0.65,0.11,-0.09,2.0
9,9.0,1.16,4.12,-0.62,0.07,-0.04,2.0
10,8.9,1.3,4.04,-0.67,-0.15,-0.04,2.0
11,10.46,1.09,3.68,-0.62,-0.22,-0.06,2.0
12,9.69,1.21,3.73,-0.58,-0.14,-0.04,2.0
13,9.76,1.2,3.38,-0.55,-0.17,-0.03,2.0
14,9.87,1.28,3.32,-0.55,-0.13,-0.03,2.0
15,9.77,1.19,3.18,-0.54,-0.13,-0.03,2.0
16,9.85,1.21,3.12,-0.54,-0.11,-0.02,2.0
17,9.97,1.27,3.17,-0.57,-0.08,-0.01,2.0
18,9.89,1.24,3.09,-0.58,-0.04,-0.01,2.0
19,9.78,1.43,3.21,-0.62,-0.09,-0.05,2.0
20,9.88,1.44,3.07,-0.61,-0.06,-0.04,2.0
21,9.87,1.29,2.44,-0.6,-0.11,-0.03,2.0
22,9.36,0.99,4.19,-0.62,0.16,-0.01,2.0
23,9.74,1.11,3.57,-0.61,-0.05,-0.01,2.0
24,9.61,0.75,3.88,-0.56,0.13,0.01,2.0
25,9.41,1.25,4.37,-0.57,-0.23,0.01,2.0
26,9.53,1.23,4.19,-0.59,-0.17,-0.0,2.0
27,9.45,1.14,3.98,-0.64,-0.15,-0.01,2.0
28,9.69,1.08,4.01,-0.61,-0.17,-0.01,2.0
29,8.52,1.0,5.18,-0.59,0.16,-0.01,2.0
30,8.29,1.0,5.91,-0.58,0.08,-0.06,2.0
31,8.78,1.04,5.46,-0.51,-0.59,0.0,2.0
32,9.17,1.23,5.35,-0.52,-0.52,-0.0,2.0
33,9.17,1.1,4.25,-0.56,-0.53,-0.01,2.0
34,9.64,0.94,3.64,-0.59,0.23,-0.05,2.0
35,9.59,1.19,3.5,-0.59,-0.13,-0.03,2.0
36,9.62,1.25,3.21,-0.63,0.0,-0.02,2.0
37,9.84,1.3,2.98,-0.64,0.13,-0.01,2.0
38,9.79,1.09,3.07,-0.6,-0.12,-0.05,2.0
39,9.89,1.09,3.0,-0.6,-0.1,-0.04,2.0
40,9.64,1.17,3.68,-0.63,-0.38,0.0,2.0
41,9.92,0.93,3.75,-0.6,-0.31,-0.01,2.0
42,10.15,0.82,3.16,-0.54,0.11,-0.07,2.0
43,9.71,1.47,3.03,-0.48,-0.14,-0.07,2.0
44,9.87,1.21,2.82,-0.66,-0.19,0.05,2.0
45,9.91,1.14,2.75,-0.63,-0.11,0.01,2.0
46,10.06,1.53,2.39,-0.66,-0.13,-0.03,2.0
47,10.46,0.69,1.87,-0.29,-0.18,-0.12,2.0
48,10.1,1.29,2.04,-0.65,-0.0,-0.01,2.0
49,9.66,1.53,2.15,-0.56,0.0,-0.06,2.0
50,9.72,1.26,3.61,-0.33,-0.04,0.04,2.0
51,9.99,1.68,1.67,-0.38,0.1,-0.06,2.0
52,10.04,1.45,2.42,-0.44,-0.22,0.0,2.0
53,10.0,1.3,2.15,-0.59,-0.13,-0.03,2.0
54,10.12,1.25,1.98,-0.66,-0.06,-0.04,2.0
55,9.75,1.23,3.38,-0.63,0.07,-0.03,2.0
56,9.89,1.28,2.6,-0.61,-0.08,-0.06,2.0
57,9.02,1.97,4.88,-0.71,0.18,-0.01,2.0
58,8.87,0.47,4.42,-0.75,-0.06,-0.01,2.0
59,9.35,0.24,4.14,-0.56,-0.22,-0.07,2.0
60,9.71,1.24,3.47,-0.57,-0.14,-0.02,2.0
61,9.71,0.91,3.28,-0.54,-0.15,-0.02,2.0
62,9.98,1.24,3.15,-0.59,-0.06,-0.06,2.0
63,9.62,1.05,3.19,-0.68,-0.01,-0.04,2.0
64,9.98,1.02,2.79,-0.7,0.78,-0.03,2.0
65,9.06,0.72,4.83,-0.65,0.27,-0.03,2.0
66,9.42,0.91,4.64,-0.51,-0.26,-0.03,2.0
67,10.01,1.18,3.58,-0.66,0.37,-0.03,2.0
68,9.45,0.83,4.37,-0.62,0.16,-0.04,2.0
69,9.06,0.76,4.98,-0.64,0.12,-0.01,2.0
70,9.56,0.96,3.56,-0.57,0.01,-0.02,2.0
71,9.18,1.1,4.25,-0.55,0.16,-0.04,2.0
72,10.14,0.63,3.04,-0.55,-0.28,-0.03,2.0
73,9.24,1.22,3.94,-0.69,0.13,-0.08,2.0
74,9.41,0.73,3.39,-0.59,-0.04,-0.01,2.0
75,9.72,1.19,3.33,-0.58,-0.11,-0.03,2.0
76,9.66,1.18,3.4,-0.57,-0.09,-0.02,2.0
77,9.91,1.29,2.75,-0.58,-0.15,-0.03,2.0
78,9.87,1.34,2.68,-0.57,-0.15,-0.03,2.0
79,9.89,1.24,2.55,-0.62,-0.15,-0.01,2.0
80,10.02,1.32,2.54,-0.56,-0.1,-0.02,2.0
