,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Mode
0,10.86,-1.53,2.11,-0.87,0.16,-0.27,0.0
1,9.5,-0.7,2.07,-0.55,-0.04,-0.01,0.0
2,10.7,0.08,2.01,-0.3,0.21,0.13,0.0
3,11.02,-0.96,1.14,-0.61,0.16,0.05,0.0
4,10.8,-1.12,1.67,-0.44,-0.13,0.1,0.0
5,9.66,-1.33,2.56,-0.45,0.13,0.08,0.0
6,10.22,-1.38,3.34,-0.78,0.14,-0.2,0.0
7,9.21,-0.43,2.52,-0.63,0.05,-0.04,0.0
8,11.06,-0.23,2.21,-0.45,0.09,0.1,0.0
9,10.56,-0.31,1.34,-0.54,0.02,0.07,0.0
10,11.12,-0.85,1.13,-0.58,-0.12,0.02,0.0
11,9.52,-1.04,2.3,-0.45,0.12,0.03,0.0
12,10.63,-1.08,2.7,-0.8,0.19,-0.22,0.0
13,9.1,-0.33,2.18,-0.47,0.18,-0.05,0.0
14,11.03,-0.11,2.09,-0.43,0.04,0.11,0.0
15,10.63,-0.53,1.4,-0.57,-0.05,0.01,0.0
16,11.26,-0.93,1.3,-0.57,-0.19,0.04,0.0
17,9.33,-1.02,2.3,-0.47,0.14,0.02,0.0
18,9.69,-1.02,2.84,-0.72,0.11,-0.16,0.0
19,10.61,-1.22,2.94,-0.8,0.14,-0.21,0.0
20,9.38,-0.39,2.19,-0.67,0.1,-0.09,0.0
21,10.82,0.33,2.4,-0.42,0.03,0.08,0.0
22,10.82,-0.58,1.41,-0.63,0.02,0.03,0.0
23,10.99,-0.73,1.55,-0.51,-0.1,0.05,0.0
24,9.19,-0.85,2.4,-0.5,0.16,0.04,0.0
25,10.61,-1.0,2.76,-0.78,0.14,-0.22,0.0
26,9.28,-0.18,2.42,-0.57,0.08,-0.07,0.0
27,10.8,0.47,2.36,-0.44,0.04,0.1,0.0
28,11.19,-0.57,1.56,-0.78,0.01,-0.0,0.0
29,11.33,-0.46,1.35,-0.55,-0.11,0.06,0.0
